File Name,Vertex,STL Average,DS Average
5_28_FULL.txt,1,1.22,.98
5_28_FULL.txt,2,1.12,.89
5_28_FULL.txt,3,1.02,.8
5_28_FULL.txt,4,.97,.77
5_28_FULL.txt,5,.81,.64
5_28_FULL.txt,ALL,1.03,.81
10_28_REG_3,1,2.58,1.9
10_28_REG_3,2,2.33,1.8
10_28_REG_3,3,2.34,1.76
10_28_REG_3,4,2.44,1.91
10_28_REG_3,5,2.31,1.76
10_28_REG_3,6,2.39,1.81
10_28_REG_3,7,2.85,1.79
10_28_REG_3,8,2.42,1.94
10_28_REG_3,9,2.42,1.87
10_28_REG_3,10,2.43,1.89
10_28_REG_3,ALL,2.45,1.84
5_28_REG_3,1,1.05,.82
5_28_REG_3,2,1.02,.79
5_28_REG_3,3,1.05,.83
5_28_REG_3,4,1.07,.82
5_28_REG_3,5,1.05,.81
5_28_REG_3,ALL,1.05,.82
10_28_FULL.txt,1,3.92,2.99
10_28_FULL.txt,2,3.85,2.94
10_28_FULL.txt,3,3.92,2.96
10_28_FULL.txt,4,3.91,2.95
10_28_FULL.txt,5,3.87,2.9
10_28_FULL.txt,6,4.32,3.37
10_28_FULL.txt,7,4.39,3.42
10_28_FULL.txt,8,4.4,3.43
10_28_FULL.txt,9,4.4,3.47
10_28_FULL.txt,10,4.33,3.46
10_28_FULL.txt,ALL,4.13,3.19
